Country;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12
Austria;81.6;11.3;43609;30.3;8.5;8.7;56.8;83.9;54.7;10.7;12.4;42.2
Belgium;81;11.4;41243;42.4;11.3;8.2;48.9;85.1;48.2;13.2;13.4;23
Bulgaria;74.3;10.8;16261;20.4;7.1;4.6;48.9;56.7;48.6;15.1;25;16.1
Croatia;77.5;11.2;20291;15.2;4.2;6.4;43.9;69.8;46.4;7;3;25.6
Cyprus;80.3;11.7;29459;12.5;1.2;3.3;53.9;71.7;57.5;9.2;9.8;28.2
Czech Republic;78.8;12.3;28144;19.6;10.5;6.3;56.4;81.3;51.1;13.5;11.7;29.6
Denmark;80.4;12.7;44519;37.4;5.7;9.2;58.1;96.3;58;6.8;8.4;44.4
Estonia;77;12.5;26362;23.8;1.3;5;58.2;88.4;55.4;9.9;9.2;26.6
Finland;81;11.2;38868;41.5;5.5;7.3;52.9;92.7;55;7.2;6.5;40.8
France;82.4;11.6;38085;25.7;64.4;9;49.4;84.7;50.7;14.1;14.8;20
Greece;81.1;10.5;24808;19.7;11;5;38.8;66.8;43.9;19.6;11.8;14
Spain;82.8;9.8;32779;38;46.1;6.4;45.3;78.7;52.3;10.1;10.3;19.4
Netherlands;81.7;11.9;46326;36.4;16.9;9.5;59.9;93.1;57.5;13.2;16.9;22.9
Ireland;81.1;12.3;43798;19.9;4.7;5.1;54.3;80.1;52.4;4.6;9.9;28.3
Lithuania;73.5;12.7;26006;23.4;2.9;4.4;53.5;71.4;53.9;15.6;3.5;29.6
Luxembourg;81.9;12;62471;28.3;0.6;5.8;55.7;97.3;52.2;16.1;12.2;30.4
Latvia;74.3;11.7;22589;18;2;3.7;54.4;79.2;54.4;17.2;10;25.8
Malta;80.7;11.3;29500;12.9;0.4;6.7;49.5;76.2;38.8;30.2;10.4;27.2
Germany;81.1;13.2;45000;36.9;80.7;8.7;57.6;87.6;54.5;23.2;14.1;25
Poland;77.6;11.9;24117;24.8;38.6;4.5;52.7;68;49.1;11.4;5.6;32
Portugal;81.2;8.9;26104;34.8;10.3;6.2;51.4;68.6;53.6;13.1;7.8;24.5
Romania;74.8;10.8;19428;12;19.5;4.5;52;55.8;47.6;14.5;14.1;20.4
Slovakia;76.4;12.2;26764;18.7;5.4;5.8;52.8;85;51.4;9.3;6.9;29.2
Slovenia;80.6;12.1;28664;27.7;2.1;6.6;52.1;73.1;52.2;15.9;8.5;29.1
Sweden;82.3;12.3;46251;43.6;9.8;10;59.8;90.6;60.9;6.3;12.7;34.5
Hungary;75.3;12;23394;10.1;9.9;4.9;50.2;72.8;46.4;12.8;9.7;23
Italy;83.3;10.9;33573;30.1;59.8;7;42.5;65.6;39.3;15.1;14.7;20.2
United Kingdom;80.8;13.3;37931;26.7;64.7;7.6;59.3;92;56.9;9;16.8;28
